Post type,Title,Post url,Author(s),Date and time posted,Tags,No. of comments
article,We Asked Americans To Explain Their 2022 Votes — And How They’re Thinking About 2024,https://fivethirtyeight.com/features/we-asked-americans-to-explain-their-2022-votes-and-how-theyre-thinking-about-2024/,Geoffrey Skelley; Holly Fuong,"Dec. 12, 2022, at 6:00 AM",Congress; 2022 Election; Republicans; Democrats; Abortion; Inflation; American Issues,11
article,Why Kyrsten Sinema Left The Democratic Party,https://fivethirtyeight.com/features/why-kyrsten-sinema-left-the-democratic-party/,Geoffrey Skelley,"Dec. 9, 2022, at 6:01 PM",Senate; Senate Democrats; Democratic Party; Independents; Kyrsten Sinema; Third Party; Party Politics,34
article,Americans Generally Support Unions — And Averting A Rail Strike,https://fivethirtyeight.com/features/americans-generally-support-unions-and-averting-a-rail-strike/,Monica Potts,"Dec. 9, 2022, at 6:00 AM",Pollapalooza; Unions; Labor Market; Polla,8
article,How Kevin McCarthy Could Lose The Election For Speaker Of The House,https://fivethirtyeight.com/features/house-speaker-kevin-mccarthy-votes/,Nathaniel Rakich,"Dec. 9, 2022, at 6:00 AM",Congress; 2022 Election; House of Representatives; 2022 House Elections; Kevin McCarthy; Speaker Of The House,16
article,Georgia Can’t Be Reduced To One Political Color,https://fivethirtyeight.com/features/georgia-cant-be-reduced-to-one-political-color/,Alex Samuels,"Dec. 8, 2022, at 11:31 AM",2022 Election; 2022 Midterms; Georgia Senate Runoff,10
article,Are The Democrats Screwed In The Senate After 2024?,https://fivethirtyeight.com/features/democrats-senate-chances-2024-and-beyond/,Nate Silver,"Dec. 8, 2022, at 11:05 AM",Senate Democrats; Senate Republicans; U.S. Senate,20
podcast,Why Warnock Won Where Other Democrats Lost,https://fivethirtyeight.com/videos/why-warnock-won-where-other-democrats-lost/,Galen Druke; Alex Samuels; Geoffrey Skelley; Nathaniel Rakich,"Dec. 7, 2022",Politics Podcast; Video; Georgia Senate; Georgia Senate Runoff; Raphael Warnock; Herschel Walker,7
podcast,Politics Podcast: How Democrats Won The Georgia Runoff ,https://fivethirtyeight.com/features/politics-podcast-how-democrats-won-the-georgia-runoff/,Galen Druke; Nathaniel Rakich; Alex Samuels; Geoffrey Skelley,"Dec. 7, 2022",FiveThirtyEight Podcasts; Politics Podcast; 2022 Midterms; Georgia Senate,6
article,Republicans Still Have A Clear Path To Retaking The Senate In 2024,https://fivethirtyeight.com/features/republicans-senate-2024-map/,Geoffrey Skelley,"Dec. 7, 2022, at 11:18 AM",2024 Election; Joe Manchin; U.S. Senate; Red States; Jon Tester; Sherrod Brown; 2024 Senate Elections; Republican Senators,22
video,The Georgia Runoff Could Be Bad For Trump In 2024,https://fivethirtyeight.com/videos/the-georgia-runoff-could-be-bad-for-trump-in-2024/,Galen Druke; Nathaniel Rakich,"Dec. 6, 2022",Video; Featured video; Georgia Senate Runoff,5
podcast,Democrats Want To Change Their Primary Calendar. It Won’t Be Easy.,https://fivethirtyeight.com/videos/democrats-want-to-change-their-primary-calendar-it-wont-be-easy/,,"Dec. 6, 2022",Politics Podcast; Video; Featured video,5
