,0_religiosity,0_frequency_religious_practices,0_change_frequency_religious_practices,0_frequency_meditation,0_change_frequency_meditation,0_prior_attention,0_international,0_taking_medication,1_psychedelic_consumed,2_how_times_consumed,2_qualification_experience,2_microdosing_program,2_change_consumption,2_decrease_by_factors,3_psychedelic_but_meaningful,4_psychedelic_last_time,5_psychedelic_reasons,5_other_reason,6_psychoactives_consumed,6_other_psychoactive,7_marihuana,7 stimulants,7_sedatives,7_antidepressants or antipsychotics,7_dissociative,7_mdma,7_other,7_marijuana_decreased_by_external_factors,7_stimulants_decrease_by_external_factors,7_sedatives_reduced_by_external_factors,7_antidepressants or antipsychotics_decreased_by_external_factors,7_dissociative_decreased_by_external_factors,7_mdma_decreased_by_external_factors,7_other_decreased_due_to_external_factors,7_tobacco,7_tobacco_decreased_due_to_external_factors,7_caffeine,7_caffeine_decreased_by_external_factors,7_alcohol,7_alcohol_decreased_by_external_factors,8_calm,8_insurance,8_tense,8_disgusted,8_like_a_fish_in_water,8_changed,8_concerned_possible_problem,8_satisfied,8_scared,8_comfortable,8_confident,8_nervous,8_agitated,8 undecided,8_quiet,8_to_taste,8 worried,8_stunned,8 balanced,8_good,9_good,9_nervous,9_to_taste,9_I_wish_to_be_so_happy,9_sorry_that_failed,9_rested,9_calm_serene_calm,9_difficulties_piling_up,9_I worry_about_unimportant_things,happy,9_bad_thoughts,9_lack_trust,9_insurance,9_decide_quickly,9_out_of_place,9_satisfied,9_unimportant_things_occupy_annoy,9_disappointments_affect,9_person_stable,9_things_between_hands_nervous_tense,10_interested,10 distressed,10_excited_excited,10_affected,10_strong,10_culpable,10_scared,10_aggressive,10 excited,10_satisfied_with_himself,10_irritable,10_awake,10_ashamed,10_inspired,10_nervous,10_decided,10_concentrated,10_agitated,10_active,10_scary,11_I_know_what_I_want_to,11_accept_what_goes_wrong,11_it_imports_to_think_about_the_future,11_I_can_say_what_I_think,11_people_like_me,11_will_achieve_goals,11_story_with_people_who_help,11_in_general_I_get_on_good_with_people,11_I_do_what_I_want,11_capable_of_thinking_life_project,11_accept_mistakes_improve,11_make_decisions_without_hesitating,11_face_obligations_without_problems,12_I_carry_out_plans_until_the_end,12_handling_problems_different_modes,12_do_things_without_depending,12_I keep_interest_important_things,12_take_things_without_concern,12_friendly_withme,12_manage_several_things,12_decided,12_rare_times_I_ask_the_purpose_of_things,12_I_do_things_by_one,12_self_disciplined,12_maintain_interest,12_usually_find_things_to_laugh about,12_confidence_in_my_going_through_difficult_times,12_in_emergencies_you_can_trust_me,12_see_situation_several_points_of_view,12_my_life_has_sense,12_I_don't_insist_in_things_that_I_can't_do_anything,12_meeting_exit_in_difficult_situation,12_I_have_energy_for_what_I_have_to_do,12_I_feel_comfortable_if_there_are_people_who_don't_like_me,13_login_disclaimer_fork,hash
0,36,4,39,3,57,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"2,4,8",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,56,0,33,true,57,0,3,3,2,2,3,2,2,3,2,2,2,2,2,4,3,3,2,2,2,3,2,3,2,3,3,1,2,2,3,2,3,2,2,1,2,2,3,3,2,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2,3,2,2,2,1,3,2,2,1,1,2,2,2,3,2,5,5,5,5,3,3,5,3,3,3,5,3,5,4,6,6,4,3,3,3,2,2,-7847151280353992588
1,0,5,50,5,50,2,2,2,"1,2",2,87,2,48,0,2,7,2,-999,"2,4,8",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,69,0,47,0,100,0,3,3,1,2,3,2,4,3,2,3,3,2,2,2,3,3,2,1,3,3,3,2,3,2,3,1,3,1,2,2,3,3,3,2,1,3,3,3,3,2,4,2,4,3,4,1,2,2,4,4,2,3,1,3,3,3,2,3,4,1,2,1,1,1,1,2,1,1,2,2,2,2,1,5,6,7,3,5,7,7,7,4,5,3,3,7,5,6,6,7,4,5,6,4,2,1549823384243631972
2,37,4,30,4,0,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,8",-999,0,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,0,0,0,0,0,true,3,2,2,2,2,1,2,3,2,3,3,1,1,2,3,3,2,1,2,2,3,3,2,4,4,2,3,3,2,2,3,2,2,1,4,2,3,2,2,3,3,3,2,2,3,3,2,4,1,2,4,2,1,1,2,3,2,1,1,3,1,1,1,2,1,2,2,1,2,2,1,3,2,3,2,4,5,1,5,2,1,4,5,3,6,7,5,1,2,4,5,5,4,2,2,-2497542030004815781
3,0,5,50,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,3",-999,0,0,-999,-999,-999,-999,-999,true,0,-999,-999,-999,-999,-999,0,0,100,0,-999,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3468523577962399165
4,0,5,50,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,true,3,4,1,1,1,2,2,2,1,4,4,1,1,2,4,2,1,3,2,4,4,2,4,1,2,4,2,2,2,4,1,1,4,4,1,4,1,1,4,2,3,1,5,1,5,1,1,1,5,5,5,5,1,5,1,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,7,7,4,7,7,7,4,4,6,7,7,7,7,7,7,4,7,7,7,2,5729870008773318897
5,64,2,68,3,68,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"4,8",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,0,14,0,2,1,4,2,1,4,4,1,3,1,1,2,2,2,2,1,2,3,1,2,2,3,1,3,2,1,1,2,2,2,3,4,1,2,3,2,3,3,1,3,2,4,3,4,2,3,3,4,3,1,4,2,5,3,4,2,2,3,3,3,3,2,1,3,3,2,2,3,2,2,2,2,2,3,5,4,6,5,5,4,2,4,3,3,5,6,5,6,5,4,5,4,3,1,2,2575406458411821320
6,61,4,51,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17,0,-999,-999,2,3,2,1,1,1,3,3,2,3,3,2,1,1,2,3,1,1,2,3,4,1,4,3,1,3,3,2,4,3,2,3,4,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2263697572117227104
7,38,5,50,5,50,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,8",-999,23,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,100,0,-999,-999,100,0,2,2,1,2,1,1,4,2,1,2,2,2,2,3,2,2,3,2,1,2,3,3,2,4,4,4,2,3,4,3,4,4,2,1,2,2,4,4,2,2,3,2,4,3,2,5,2,3,4,3,5,2,5,3,3,3,2,4,3,2,2,2,2,3,2,1,2,1,1,1,2,3,1,3,3,5,3,5,4,5,1,2,3,4,4,7,4,6,7,7,2,4,5,1,2,1543375667462379685
8,0,5,50,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,8",-999,0,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,0,0,15,0,0,0,3,2,1,1,3,1,1,2,1,3,3,2,1,3,3,4,1,1,2,3,3,2,4,2,2,2,2,2,1,4,2,2,3,2,2,3,1,1,2,4,4,1,3,1,4,1,1,3,3,3,2,4,1,2,2,4,4,1,4,2,2,1,1,1,2,1,1,1,1,1,1,2,2,6,4,4,4,2,4,3,4,2,4,6,5,5,6,2,4,3,4,4,3,3,2,-4489540702142329509
9,69,2,48,4,45,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,8",-999,46,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,60,0,47,0,49,0,4,2,2,2,1,2,2,2,2,3,3,2,1,2,4,3,1,1,3,3,4,2,3,2,3,3,4,2,4,3,2,2,3,3,2,3,3,4,3,2,4,1,5,1,3,1,2,1,4,4,2,5,1,5,2,3,3,1,5,2,2,1,1,3,2,1,1,3,1,1,1,2,1,7,4,7,7,1,4,5,4,1,4,7,7,6,6,7,7,6,4,7,7,1,2,-6163371763397135173
